Library plate,DNA plate,RAD plate,Description,96index,Blackindex,ul for SOMM569 if 10nM),ul for SOMM570 if 10nM)
A01,MRM013,RADA612,NZ Chinook,C01,A01,6,
A02,MRM014,RADA613,NZ Chinook,C02,A02,6,
A03,MRM015,RADA614,NZ Chinook,C03,A03,6,
A04,MRM016,RADA615,NZ Chinook,C04,A04,6,
A05,MRM018,RADA616,coho,C05,A05,30,
A06,MRM019,RADA617,coho,C06,A06,30,
A07,MRM020,RADA618,NU Rock Creek Hatchery broodstock,C07,A07,6,
A08,MRM021,RADA619,NU Rock Creek Hatchery broodstock,C08,A08,,6
A09,WS2,RADA620,Sockeye,C09,A09,30,
A10,WS4,RADA621,Sockeye,C10,A10,30,
A11,CH1,RADA622,Carly,C11,A11,,3
A12,CH2,RADA623,Carly,C12,A12,,3
B01,CH3,RADA624,Carly,D01,B01,,3
B02,PUT001,RADA625,PUT001,D02,B02,,6
B03,PUT002,RADA626,PUT002,D03,B03,,6
B04,PUT003,RADA627,PUT003,D04,B04,,6
B05,PUT004,RADA628,PUT004,D05,B05,,6
B06,PUT005,RADA629,PUT005,D06,B06,,6
B07,PUT006,RADA630,PUT006,D07,B07,,6
B08,PUT007,RADA631,PUT007,D08,B08,,6
B09,PUT008,RADA632,PUT008,D09,B09,,6
B10,PUT009,RADA633,PUT009,D10,B10,,6
B11,PUT010,RADA634,PUT010,D11,B11,,6
B12,PUT011,RADA635,PUT011,D12,B12,,6
C01,RAP1,RADA636,Ryan Frogs,E01,C01,,15
C02,RAP2,RADA637,Ryan Frogs,E02,C02,,0
C03,RAP3,RADA638,Ryan Frogs,E03,C03,,0
C04,RAP4,RADA639,Ryan Frogs,E04,C04,,0
C05,DNAA737,RADA640,Samantha Eel river steel,E05,C05,,6
C06,DNAA738,RADA641,Samantha Eel river steel,E06,C06,,6
C07,DNAA739,RADA642,Samantha Eel river steel,E07,C07,,6
C08,DNAA740,RADA643,Samantha Eel river steel,E08,C08,,6
C09,DNAA741,RADA644,Samantha Eel river steel,E09,C09,,6
C10,DNAA742,RADA645,Samantha Eel river steel,E10,C10,,6
C11,DNAA743,RADA646,Samantha Eel river steel,E11,C11,,6
C12,DNAA744,RADA647,Samantha Eel river steel,E12,C12,,6
D01,DNAA745,RADA648,Samantha Eel river steel,F01,D01,,6
D02,WH1,RADA649,,F02,D02,,6
D03,WH2,RADA650,,F03,D03,,6
D04,WH3,RADA651,,F04,D04,,6
D05,WH4,RADA652,,F05,D05,,6
D06,DNAA563,RADA653,Melissa Ducks,F06,D06,,6
D07,DNAA564,RADA654,Melissa Ducks,F07,D07,,0
D08,DNAA565,RADA655,Melissa Ducks,F08,D08,,0
D09,DNAA566,RADA656,Melissa Ducks,F09,D09,,0
D10,DNAA567,RADA657,Melissa Ducks,F10,D10,,0
D11,DNAA568,RADA658,Melissa Ducks,F11,D11,,0
D12,DNAA569,RADA659,Melissa Ducks,F12,D12,,0
E01,DNAA570,RADA660,Melissa Ducks,G01,E01,,0
E02,DNAA571,RADA661,Melissa Ducks,G02,E02,,0
E03,DNAA572,RADA662,Melissa Ducks,G03,E03,,0
E04,DNAA573,RADA663,Melissa Ducks,G04,E04,,0
E05,DNAA574,RADA664,Melissa Ducks,G05,E05,,0
,,,"RAPTURE of SOMM342 FSU mosquito fish 27 plates (96 index only, not dual)",,,,30
,,,Will H. Monarch A01-H08 and stickleback H09-H12 WGS,,,,15
,,,"Agusto Bird RAD lib ~18 samples, 96 index A11 + black index A12",,,,0.6
,,,"WGS Capilano (A01-G03), Caspian A04-G06)",,,,75
,,,WGS S.K. UNR 96 index + Black index (whole 96 well plate),,,150,
,,,Spiny lob and Sam mykiss,,,,
